OTU,kingdom,phylum,class,order,family,genus,species,exploration_type,guild,guild2
ITSall_OTUa_13,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hydnangiaceae,Laccaria,NA,short-distance_delicate,Ectomycorrhizal,EctoMycorrhizal
ITSall_OTUa_1016,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hydnangiaceae,Laccaria,NA,short-distance_delicate,Ectomycorrhizal,EctoMycorrhizal
ITSall_OTUb_427,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hydnangiaceae,Laccaria,NA,short-distance_delicate,Ectomycorrhizal,EctoMycorrhizal
ITSall_OTUa_1011,Fungi,Glomeromycota,Glomeromycetes,Glomerales,NA,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUa_151,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,NA,medium-distance_smooth,Ectomycorrhizal,EctoMycorrhizal
ITSall_OTUa_666,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,NA,medium-distance_fringe,Ectomycorrhizal,EctoMycorrhizal
ITSall_OTUb_152,Fungi,Glomeromycota,Glomeromycetes,Glomerales,NA,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUc_54,Fungi,Glomeromycota,Glomeromycetes,Glomerales,NA,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUc_95,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUa_1125,Fungi,Glomeromycota,Glomeromycetes,Glomerales,NA,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUa_1703,Fungi,Glomeromycota,Archaeosporomycetes,Archaeosporales,NA,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUa_172,Fungi,Glomeromycota,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUa_1213,Fungi,Glomeromycota,Glomeromycetes,Glomerales,NA,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUa_83,Fungi,Glomeromycota,Glomeromycetes,Glomerales,NA,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUa_1184,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUj_431,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Setchelliogaster,Setchelliogaster_australiensis,short-distance_delicate,Ectomycorrhizal,EctoMycorrhizal
ITSall_OTUa_2854,Fungi,Glomeromycota,Glomeromycetes,Glomerales,NA,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUf_2741,Fungi,Glomeromycota,Archaeosporomycetes,Archaeosporales,NA,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUa_2791,Fungi,Glomeromycota,Glomeromycetes,Glomerales,NA,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUf_2198,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUa_1135,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUm_6684,Fungi,Glomeromycota,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUa_3097,Fungi,Glomeromycota,Glomeromycetes,Glomerales,NA,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUa_1666,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUk_1888,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Serendipitaceae,Serendipita,NA,NA,Orchid Mycorrhizal,Orchid Mycorrhizal
ITSall_OTUi_4086,Fungi,Glomeromycota,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUa_6066,Fungi,Glomeromycota,Glomeromycetes,Glomerales,NA,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUn_1190,Fungi,Basidiomycota,Agaricomycetes,Boletales,Rhizopogonaceae,Rhizopogon,NA,long-distance,Ectomycorrhizal,EctoMycorrhizal
ITSall_OTUb_29,Fungi,Glomeromycota,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUa_2566,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUa_329,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,NA,contact,Ectomycorrhizal,EctoMycorrhizal
ITSall_OTUd_8863,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUf_2782,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUa_6930,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUi_1393,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUb_42,Fungi,Glomeromycota,Archaeosporomycetes,Archaeosporales,NA,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUe_3512,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,NA,short-distance_delicate,Ectomycorrhizal,EctoMycorrhizal
ITSall_OTUh_930,Fungi,Glomeromycota,Archaeosporomycetes,Archaeosporales,NA,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUa_1129,Fungi,Glomeromycota,Glomeromycetes,Glomerales,NA,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUm_4343,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,NA,short-distance_delicate,Ectomycorrhizal,EctoMycorrhizal
ITSall_OTUb_262,Fungi,Glomeromycota,Archaeosporomycetes,Archaeosporales,NA,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUa_1437,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUa_2141,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Serendipitaceae,Serendipita,NA,NA,Orchid Mycorrhizal,Orchid Mycorrhizal
ITSall_OTUf_136,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUf_795,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUc_450,Fungi,Glomeromycota,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUf_123,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUa_3164,Fungi,Glomeromycota,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUa_10016,Fungi,Glomeromycota,Glomeromycetes,Glomerales,NA,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUh_445,Fungi,Glomeromycota,Archaeosporomycetes,Archaeosporales,NA,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUk_6546,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUa_85,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Ruhlandiella,NA,short-distance_coarse,Ectomycorrhizal,EctoMycorrhizal
ITSall_OTUa_696,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,Tomentella_hjortstamiana,medium-distance_smooth,Ectomycorrhizal,EctoMycorrhizal
ITSall_OTUa_648,Fungi,Glomeromycota,NA,NA,NA,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUa_706,Fungi,Glomeromycota,Glomeromycetes,NA,NA,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUf_234,Fungi,Glomeromycota,Glomeromycetes,Glomerales,NA,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUj_1031,Fungi,Basidiomycota,Agaricomycetes,Boletales,Sclerodermataceae,Scleroderma,NA,long-distance,Ectomycorrhizal,EctoMycorrhizal
ITSall_OTUa_70,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Ruhlandiella,NA,short-distance_coarse,Ectomycorrhizal,EctoMycorrhizal
ITSall_OTUa_1676,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,Inocybe_distincta,short-distance_delicate,Ectomycorrhizal,EctoMycorrhizal
ITSall_OTUf_2349,Fungi,Glomeromycota,Glomeromycetes,Gigasporales,Gigasporaceae,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUa_1864,Fungi,Glomeromycota,Archaeosporomycetes,Archaeosporales,NA,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUa_6082,Fungi,Glomeromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,Paraglomus_brasilianum,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUa_3949,Fungi,Glomeromycota,Archaeosporomycetes,Archaeosporales,NA,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUj_6212,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUh_77,Fungi,Glomeromycota,Glomeromycetes,Glomerales,NA,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUh_52,Fungi,Glomeromycota,Glomeromycetes,Glomerales,NA,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUf_1877,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUa_4206,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUb_22,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUe_461,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUf_1268,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUa_2161,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUh_235,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUh_48,Fungi,Glomeromycota,Glomeromycetes,Glomerales,NA,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUh_145,Fungi,Glomeromycota,Glomeromycetes,Glomerales,NA,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUk_4740,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUm_3953,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUf_2264,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUj_23383,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUf_3541,Fungi,Glomeromycota,Archaeosporomycetes,Archaeosporales,Ambisporaceae,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUa_9872,Fungi,Basidiomycota,Agaricomycetes,Boletales,Rhizopogonaceae,Rhizopogon,Rhizopogon_pseudoroseolus,long-distance,Ectomycorrhizal,EctoMycorrhizal
ITSall_OTUa_5161,Fungi,Glomeromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUb_8315,Fungi,Glomeromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUn_4424,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUb_8845,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUa_5059,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUf_1031,Fungi,Glomeromycota,Glomeromycetes,Glomerales,NA,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUa_248,Fungi,Glomeromycota,Glomeromycetes,Glomerales,NA,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUe_1527,Fungi,Glomeromycota,Archaeosporomycetes,Archaeosporales,NA,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUj_26040,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUf_308,Fungi,Glomeromycota,Archaeosporomycetes,Archaeosporales,NA,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUa_6430,Fungi,Glomeromycota,Glomeromycetes,Glomerales,NA,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUj_16938,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Claroideoglomeraceae,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUj_21782,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,NA,short-distance_delicate,Ectomycorrhizal,EctoMycorrhizal
ITSall_OTUa_3731,Fungi,Glomeromycota,Archaeosporomycetes,Archaeosporales,NA,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUf_2235,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUh_123,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Claroideoglomeraceae,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUa_7229,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUm_7394,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Terfezia,NA,short-distance_coarse,Ectomycorrhizal,EctoMycorrhizal
ITSall_OTUf_1077,Fungi,Glomeromycota,Archaeosporomycetes,Archaeosporales,Ambisporaceae,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUa_934,Fungi,Glomeromycota,Glomeromycetes,Glomerales,NA,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUa_2419,Fungi,Glomeromycota,Glomeromycetes,Glomerales,NA,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUa_5250,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUa_636,Fungi,Glomeromycota,Glomeromycetes,Glomerales,NA,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUe_3694,Fungi,Glomeromycota,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUd_8790,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUb_2876,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Ruhlandiella,NA,short-distance_coarse,Ectomycorrhizal,EctoMycorrhizal
ITSall_OTUa_434,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUk_1446,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUm_1082,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUf_2125,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUa_1498,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUa_1704,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUk_811,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Oehlia,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUj_3624,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUm_3756,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUm_13451,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUa_90,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,NA,medium-distance_smooth,Ectomycorrhizal,EctoMycorrhizal
ITSall_OTUd_1875,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,NA,short-distance_delicate,Ectomycorrhizal,EctoMycorrhizal
ITSall_OTUa_688,Fungi,Glomeromycota,Glomeromycetes,Glomerales,NA,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUa_2374,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Tubariomyces,NA,short-distance_delicate,Ectomycorrhizal,EctoMycorrhizal
ITSall_OTUj_161,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,Inocybe_dewrangia,short-distance_delicate,Ectomycorrhizal,EctoMycorrhizal
ITSall_OTUh_21,Fungi,Glomeromycota,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUa_5253,Fungi,Glomeromycota,Glomeromycetes,Glomerales,NA,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUa_130,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,NA,short-distance_delicate,Ectomycorrhizal,EctoMycorrhizal
ITSall_OTUf_3257,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hydnangiaceae,Laccaria,NA,short-distance_delicate,Ectomycorrhizal,EctoMycorrhizal
ITSall_OTUg_193,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius_caesibulga,medium-distance_fringe,Ectomycorrhizal,EctoMycorrhizal
ITSall_OTUa_533,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Clavulinaceae,Clavulina,NA,contact,Ectomycorrhizal,EctoMycorrhizal
ITSall_OTUa_1737,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,Tomentella_sublilacina,medium-distance_smooth,Ectomycorrhizal,EctoMycorrhizal
ITSall_OTUa_515,Fungi,Basidiomycota,Agaricomycetes,Hysterangiales,Hysterangiaceae,Hysterangium,NA,mat,Ectomycorrhizal,EctoMycorrhizal
ITSall_OTUa_48,Fungi,Glomeromycota,Glomeromycetes,Glomerales,NA,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUm_2998,Fungi,Glomeromycota,Glomeromycetes,Glomerales,NA,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUa_10348,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hydnangiaceae,Laccaria,NA,short-distance_delicate,Ectomycorrhizal,EctoMycorrhizal
ITSall_OTUa_2561,Fungi,Glomeromycota,Glomeromycetes,Glomerales,NA,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUm_1401,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Ruhlandiella,NA,short-distance_coarse,Ectomycorrhizal,EctoMycorrhizal
ITSall_OTUj_155,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,NA,short-distance_delicate,Ectomycorrhizal,EctoMycorrhizal
ITSall_OTUf_75,Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Diversisporaceae,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUb_944,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Ruhlandiella,NA,short-distance_coarse,Ectomycorrhizal,EctoMycorrhizal
ITSall_OTUd_2843,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,Tomentella_coerulea,medium-distance_smooth,Ectomycorrhizal,EctoMycorrhizal
ITSall_OTUd_62,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Wilcoxina,Wilcoxina_mikolae,short-distance_coarse,Ectomycorrhizal,EctoMycorrhizal
ITSall_OTUn_605,Fungi,Basidiomycota,Agaricomycetes,Boletales,Suillaceae,Suillus,NA,long-distance,Ectomycorrhizal,EctoMycorrhizal
ITSall_OTUm_6301,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,NA,medium-distance_fringe,Ectomycorrhizal,EctoMycorrhizal
