"geo_loc_name","lat_lon","Plot_ID"
"NSMSEQCasWoo01","29.14481 S 152.91949 E","NSSO01U"
"NSMSEQCasWoo01","29.10022 S 152.91724 E","NSSO05B"
"NSMSEQCasWoo01","29.14620 S 152.91995 E","NSSO04U"
"NSMSEQCasWoo01","29.09967 S 152.91635 E","NSSO08B"
"NSMSEQCasWoo01","29.10021 S 152.91725 E","NSSO06B"
"NSMSEQCasWoo01","29.09993 S 152.91685 E","NSSO07B"
"NSMSEQCasWoo01","29.14629 S 152.91916 E","NSSO02U"
"NSMSEQCasWoo01","29.14623 S 152.91951 E","NSSO03U"
"WAMCOOEucWoo03","32.14326 S 121.68364 E","WAEW28B"
"WAMCOOEucWoo03","32.14522 S 121.68260 E","WAEW31B"
"WAMCOOEucWoo03","32.14062 S 121.68349 E","WAEW26U"
"WAMCOOEucWoo03","32.14237 S 121.68426 E","WAEW27B"
"WAMCOOEucWoo03","32.14521 S 121.68361 E","WAEW30U"
"WAMCOOEucWoo02","32.32682 S 123.56432 E","WAEW18B"
"WAMCOOEucWoo02","32.32915 S 123.56731 E","WAEW20B"
"WAMCOOEucWoo02","32.32470 S 123.55861 E","WAEW22B"
"WAMCOOEucWoo02","32.32091 S 123.54759 E","WAEW23B"
"WAMCOOEucWoo01","32.19363 S 121.33462 E","WAEW13U"
"WAMCOOEucWoo01","32.11935 S 121.33895 E","WAEW12U"
"WAMCOOEucWoo01","32.18966 S 121.33522 E","WAEW11B"
"WAMCOOEucWoo01","32.19511 S 121.33469 E","WAEW15U"
"WAMCOOEucWoo02","32.31687 S 123.55198 E","WAEW24U"
"WAMCOOEucWoo01","32.18967 S 121.33628 E","WAEW10B"
"WAMCOOEucWoo02","32.32250 S 123.56755 E","WAEW19U"
"WAMCOOEucWoo01","32.19235 S 121.33237 E","WAEW16B"
"WAMCOOEucWoo02","32.32254 S 123.56731 E","WAEW21U"
"WAMCOOEucWoo01","32.19191 S 121.33455 E","WAEW14B"
"WAMCOOEucWoo03","32.14516 S 121.68435 E","WAEW29U"
"WAMCOOShrubl01","32.18419 S 121.25175 E","WASS08B"
"WAMCOOShrubl01","32.18468 S 121.25197 E","WASS07U"
"WAMCOOShrubl01","32.18482 S 121.25306 E","WASS02U"
"WAMCOOShrubl01","32.18451 S 121.25352 E","WASS05B"
"WAMCOOShrubl01","32.18450 S 121.25311 E","WASS06B"
"WAMCOOShrubl01","32.18518 S 121.25351 E","WASS01B"
"WAMCOOShrubl01","32.18466 S 121.25271 E","WASS03U"
"WAMESPShrubl01","34.88322 S 118.38400 E","WASP02U"
"WAMCOOShrubl01","32.18423 S 121.25256 E","WASS04U"
"WAMESPShrubl01","34.88351 S 118.38344 E","WASP03B"
"WAMESPShrubl01","34.88321 S 118.38343 E","WASP01B"
"WAMESPShrubl01","34.88423 S 118.38337 E","WASP07B"
"WAMESPShrubl01","34.88350 S 118.38400 E","WASP04U"
"WAMESPShrubl01","34.88385 S 118.38343 E","WASP05B"
"WAMESPShrubl01","34.88377 S 118.38405 E","WASP06B"
"WAMDALEucWoo01","17.93460 S 122.21230 E","WABEW03U"
"WAMDALEucWoo01","17.93560 S 122.21230 E","WABEW01B"
"WAMDALEucWoo01","17.93500 S 122.21230 E","WABEW02U"
"WAMDALEucWoo01","17.93820 S 122.21240 E","WABEW08B"
"WAMDALEucWoo01","17.93710 S 122.21230 E","WABEW07B"
"WAMDALEucWoo01","17.93440 S 122.21180 E","WABEW05B"
"VCMSECEucFor01","37.68872 S 148.56737 E","VCEF08B"
"VCMSECEucFor01","37.69046 S 148.56687 E","VCEF05U"
"VCMSECEucFor01","37.68914 S 148.56744 E","VCEF07B"
"VCMSECEucFor01","37.68945 S 148.57010 E","VCEF02U"
"VCMSECEucFor01","37.68906 S 148.57012 E","VCEF03B"
"VCMSECEucFor01","37.69020 S 148.57051 E","VCEF01U"
"VCMSECRainfo01","37.53978 S 149.74089 E","VCRF18U"
"VCMSECEucFor01","37.68868 S 148.57016 E","VCEF04B"
"VCMSECRainfo01","37.53099 S 149.73534 E","VCRF16B"
"VCMSECRainfo01","37.53091 S 149.75143 E","VCRF15B"
"VCMSECRainfo01","37.54019 S 149.74201 E","VCRF20U"
"WAMESPShrubl01","34.88410 S 118.38446 E","WASP08U"
"WAMCOOEucWoo03","32.14018 S 121.68298 E","WAEW25U"
"WAMCOOEucWoo01","32.18829 S 121.34023 E","WAEW09U"
"WAMDALEucWoo02","17.98320 S 122.19130 E","WABEW19U"
"VCMSECEucFor01","37.69028 S 148.56685 E","VCEF06U"
"WAMDALEucWoo02","17.98340 S 122.19180 E","WABEW17U"
"VCMSECRainfo01","37.54001 S 149.74109 E","VCRF19U"
"VCMSECRainfo01","37.53085 S 149.73544 E","VCRF13B"
"VCMSECRainfo01","37.53986 S 149.74011 E","VCRF17U"
"SAMMDDMallee01","33.76665 S 140.61807 E","SAM106U"
"SAMMDDMallee01","33.76530 S 140.62049 E","SAM108U"
"SAMMDDMallee01","33.76452 S 140.61978 E","SAM107B"
"SAMMDDMallee01","33.76723 S 140.61640 E","SAM104U"
"SAMMDDMallee01","33.76872 S 140.60849 E","SAM101B"
"SAMMDDMallee02","33.79926 S 140.52364 E","SAM212U"
"SAMMDDMallee01","33.76572 S 140.61765 E","SAM105B"
"SAMMDDMallee02","33.79822 S 140.52512 E","SAM209"
"SAMMDDMallee02","33.79946 S 140.53388 E","SAM215B"
"SAMMDDMallee02","33.79777 S 140.52584 E","SAM210U"
"SAMMDDMallee02","33.79901 S 140.52428 E","SAM211U"
"SAMMDDMallee02","34.04250 S 140.71277 E","SAM216B"
"SAMMDDMallee01","33.77062 S 140.61094 E","SAM102U"
"SAMMDDMallee02","33.79708 S 140.52260 E","SAM214B"
"SAMMDDMallee02","33.79736 S 140.52369 E","SAM213B"
"SAMMDDMallee01","33.76786 S 140.61740 E","SAM103B"
"QDMSEQRainfo01","28.15519 S 153.17004 E","QDRF02U"
"QDMSEQRainfo01","28.15538 S 153.16947 E","QDRF03B"
"QDMSEQRainfo01","28.15531 S 153.16954 E","QDRF04B"
"QDMSEQRainfo01","28.15538 S 153.16992 E","QDRF01U"
"QDMSEQRainfo01","28.15259 S 153.16832 E","QDRF05U"
"QDMSEQRainfo01","28.15200 S 153.16870 E","QDRF08B"
"WAMDALRainfo01","17.98660 S 122.20870 E","WABVT14U"
"WAMDALRainfo01","17.94680 S 122.20940 E","WABVT13B"
"WAMDALRainfo01","17.94870 S 122.20870 E","WABVT12U"
"WAMDALRainfo01","17.94670 S 122.20980 E","WABVT11B"
"WAMDALRainfo01","17.94290 S 122.20940 E","WABVT10U"
"WAMDALRainfo01","17.94780 S 122.20950 E","WABVT09B"
"WAMDALRainfo01","17.94680 S 122.20870 E","WABVT15B"
"WAMDALRainfo01","17.94770 S 122.20890 E","WABVT16U"
"VCMSECRainfo01","37.53100 S 149.73549 E","VCRF14B"
"WAMDALEucWoo02","17.97640 S 122.19160 E","WABEW24B"
"WAMDALEucWoo02","17.98370 S 122.19130 E","WABEW18U"
"WAMDALEucWoo02","17.98320 S 122.19430 E","WABEW22B"
"WAMCOOEucWoo03","32.14552 S 121.68298 E","WAEW32B"
"WAMCOOEucWoo02","32.32404 S 123.56670 E","WAEW17U"
"WAMDALEucWoo01","17.93620 S 122.21230 E","WABEW06B"
"WAMDALEucWoo02","17.97940 S 122.19480 E","WABEW23B"
"WAMDALEucWoo02","17.98330 S 122.19010 E","WABEW20U"
"WAMDALEucWoo01","17.93440 S 122.21210 E","WABEW04U"
"QDMSEQRainfo01","28.15206 S 153.16852 E","QDRF07"
"QDMSEQRainfo01","28.15196 S 153.16905 E","QDRF06"
"WAMDALEucWoo02","17.98280 S 122.19550 E","WABEW21B"
"NSMSEQCasWoo01","29.14481 S 152.91949 E","NSS001U"
"NSMSEQCasWoo01","29.14629 S 152.91916 E","NSS002U"
"NSMSEQCasWoo01","29.14623 S 152.91951 E","NSS003U"
"NSMSEQCasWoo01","29.14620 S 152.91995 E","NSS004U"
"NSMSEQCasWoo01","29.10022 S 152.91724 E","NSS005B"
"NSMSEQCasWoo01","29.09967 S 152.91635 E","NSS008B"
"WAMCOOShrubl01","32.18518 S 121.25351 E","WASS01B"
"WAMCOOShrubl01","32.18482 S 121.25306 E","WASS02U"
"WAMCOOShrubl01","32.18466 S 121.25271 E","WASS03U"
"WAMCOOShrubl01","32.18423 S 121.25256 E","WASS04U"
"WAMCOOShrubl01","32.18451 S 121.25352 E","WASS05B"
"WAMCOOShrubl01","32.18450 S 121.25311 E","WASS06B"
"WAMCOOShrubl01","32.18468 S 121.25197 E","WASS07U"
"WAMCOOShrubl01","32.18419 S 121.25175 E","WASS08B"
"WAMESPShrubl01","34.88321 S 118.38343 E","WASP01B"
"WAMESPShrubl01","34.88322 S 118.38400 E","WASP02U"
"WAMESPShrubl01","34.88351 S 118.38344 E","WASP03B"
"WAMESPShrubl01","34.88410 S 118.38446 E","WASP08U"
"WAMESPShrubl01","34.88385 S 118.38343 E","WASP05B"
"WAMESPShrubl01","34.88377 S 118.38405 E","WASP06U"
"WAMESPShrubl01","34.88423 S 118.38337 E","WASP07B"
"WAMESPShrubl01","34.88350 S 118.38400 E","WASP04U"
"QDMSEQRainfo01","28.15538 S 153.16992 E","QDRF01U"
"QDMSEQRainfo01","28.15519 S 153.17004 E","QDRF02U"
"QDMSEQRainfo01","28.15538 S 153.16947 E","QDRF03B"
"QDMSEQRainfo01","28.15531 S 153.16954 E","QDRF04B"
"QDMSEQRainfo01","28.15259 S 153.16832 E","QDRF05U"
"QDMSEQRainfo01","28.15196 S 153.16905 E","QDRF06B"
"QDMSEQRainfo01","28.15206 S 153.16852 E","QDRF07B"
"QDMSEQRainfo01","28.15200 S 153.16870 E","QDRF08B"
"WAMDALEucWoo02","17.98370 S 122.19130 E","WABEW18U"
"WAMDALEucWoo02","17.98320 S 122.19130 E","WABEW19U"
"WAMDALEucWoo02","17.98330 S 122.19010 E","WABEW20U"
"WAMDALEucWoo02","17.98280 S 122.19550 E","WABEW21B"
"WAMDALEucWoo02","17.98320 S 122.19430 E","WABEW22B"
"WAMDALEucWoo02","17.97940 S 122.19480 E","WABEW23B"
"WAMDALEucWoo02","17.97640 S 122.19160 E","WABEW24B"
"WAMCOOEucWoo02","32.32682 S 123.56432 E","WAEW18B"
"WAMCOOEucWoo02","32.32915 S 123.56731 E","WAEW20B"
"WAMCOOEucWoo02","32.32254 S 123.56731 E","WAEW21U"
"WAMCOOEucWoo03","32.14018 S 121.68298 E","WAEW25U"
"WAMCOOEucWoo03","32.14062 S 121.68349 E","WAEW26U"
"WAMCOOEucWoo03","32.14237 S 121.68426 E","WAEW27B"
"WAMCOOEucWoo03","32.14326 S 121.68364 E","WAEW28B"
"WAMCOOEucWoo03","32.14516 S 121.68435 E","WAEW29U"
"WAMCOOEucWoo03","32.14521 S 121.68361 E","WAEW30U"
"WAMCOOEucWoo03","32.14522 S 121.68260 E","WAE31B"
"WAMCOOEucWoo03","32.14552 S 121.68298 E","WAE32B"
"WAMCOOEucWoo02","32.32470 S 123.55861 E","WAEW22B"
"WAMDALRainfo01","17.94780 S 122.20950 E","WABUT09B"
"WAMDALRainfo01","17.94290 S 122.20940 E","WABUT10U"
"WAMDALRainfo01","17.94670 S 122.20980 E","WABUT11B"
"WAMDALRainfo01","17.94870 S 122.20870 E","WABUT12U"
"WAMDALRainfo01","17.94680 S 122.20940 E","WABUT13B"
"WAMDALRainfo01","17.98660 S 122.20870 E","WABUT14U"
"WAMDALRainfo01","17.94680 S 122.20870 E","WABUT15B"
"WAMDALRainfo01","17.94770 S 122.20890 E","WABUT16U"
"WAMCOOEucWoo01","32.18967 S 121.33628 E","WAEW10B"
"WAMCOOEucWoo01","32.18966 S 121.33522 E","WAEW11B"
"WAMCOOEucWoo01","32.11935 S 121.33895 E","WAEW12U"
"WAMCOOEucWoo01","32.19363 S 121.33462 E","WAEW13U"
"WAMCOOEucWoo01","32.19191 S 121.33455 E","WAEW14B"
"WAMCOOEucWoo01","32.19511 S 121.33469 E","WAEW15U"
"WAMCOOEucWoo01","32.19235 S 121.33237 E","WAEW16B"
"WAMDALEucWoo01","17.93560 S 122.21230 E","WABEW01B"
"WAMDALEucWoo01","17.93500 S 122.21230 E","WABEW02U"
"WAMDALEucWoo01","17.93460 S 122.21230 E","WABEW03U"
"WAMDALEucWoo01","17.93440 S 122.21210 E","WABEW04U"
"WAMDALEucWoo01","17.93440 S 122.21180 E","WABEW05U"
"WAMDALEucWoo01","17.93620 S 122.21230 E","WABEW06B"
"WAMDALEucWoo01","17.93710 S 122.21230 E","WABEW07B"
"WAMDALEucWoo01","17.93820 S 122.21240 E","WABEW08B"
"SAMMDDMallee01","33.76872 S 140.60849 E","SAM101B"
"SAMMDDMallee01","33.76723 S 140.61640 E","SAM104U"
"SAMMDDMallee01","33.76665 S 140.61807 E","SAM106U"
"SAMMDDMallee01","33.76530 S 140.62049 E","SAM108U"
"SAMMDDMallee02","33.79777 S 140.52584 E","SAM210U"
"SAMMDDMallee02","33.79901 S 140.52428 E","SAM211U"
"SAMMDDMallee02","33.79736 S 140.52369 E","SAM213B"
"SAMMDDMallee02","33.79708 S 140.52260 E","SAM214B"
"SAMMDDMallee02","33.79946 S 140.53388 E","SAM215B"
"SAMMDDMallee02","34.04250 S 140.71277 E","SAM216B"
"VCMSECRainfo01","37.53085 S 149.73544 E","VCRF13B"
"VCMSECRainfo01","37.53100 S 149.73549 E","VCRF14B"
"VCMSECRainfo01","37.53091 S 149.75143 E","VCRF15B"
"VCMSECRainfo01","37.53099 S 149.73534 E","VCFR16B"
"VCMSECRainfo01","37.53986 S 149.74011 E","VCFR17U"
"VCMSECRainfo01","37.53978 S 149.74089 E","VCFR18U"
"VCMSECRainfo01","37.54001 S 149.74109 E","VCFR19U"
"VCMSECEucFor01","37.69020 S 148.57051 E","VCEF01U"
"VCMSECEucFor01","37.68945 S 148.57010 E","VCEF02U"
"VCMSECEucFor01","37.68906 S 148.57012 E","VCEF03B"
"VCMSECEucFor01","37.68868 S 148.57016 E","VCEF04B"
"VCMSECEucFor01","37.69046 S 148.56687 E","VCEF05U"
"VCMSECEucFor01","37.69028 S 148.56685 E","VCEF06U"
"VCMSECEucFor01","37.68914 S 148.56744 E","VCEF07B"
"VCMSECEucFor01","37.68872 S 148.56737 E","VCEF08B"
